id,brand,name,protein,fat,carb,omega3,phosphorus,proteinSources,singleSource,grainFree,prescription,lifeStage,bodySize,reportsTotal,reportsPalatability,reportsLooseStool,unit,checkedAt,dealbreaker,discontinued,m1Label,m1Amount,m1Note,m1Url,m1Commission,m2Label,m2Amount,m2Note,m2Url,m2Commission
df-01,,← 羊肉單一蛋白,,,,,,lamb,Y,,,adult,small|medium,,,,,,,N,,,,,,,,,,
df-02,,← 鴨肉單一蛋白,,,,,,duck,Y,,,adult,small|medium,,,,,,,N,,,,,,,,,,
df-03,,← 白魚單一蛋白,,,,,,whitefish,Y,,,adult,small|medium|large,,,,,,,N,,,,,,,,,,
df-04,,← 鮭魚單一蛋白,,,,,,salmon,Y,,,all,small|medium|large,,,,,,,N,,,,,,,,,,
df-05,,← 火雞單一蛋白,,,,,,turkey,Y,,,adult,small,,,,,,,N,,,,,,,,,,
df-06,,← 罕見蛋白源,,,,,,venison,Y,,,adult,small|medium,,,,,,,N,,,,,,,,,,
df-07,,← 雞肉高蛋白,,,,,,chicken,N,,,adult,medium|large,,,,,,,N,,,,,,,,,,
df-08,,← 鴨+火雞,,,,,,duck|turkey,N,,,adult,medium|large,,,,,,,N,,,,,,,,,,
df-09,,← 全齡通用,,,,,,chicken,N,,,all,small|medium|large,,,,,,,N,,,,,,,,,,
df-10,,← 中價位主流,,,,,,chicken|salmon,N,,,adult,small|medium|large,,,,,,,N,,,,,,,,,,
df-11,,← 台灣本土品牌,,,,,,chicken,N,,,adult,small|medium,,,,,,,N,,,,,,,,,,
df-12,,← 幼犬小型,,,,,,chicken,N,,,puppy,small,,,,,,,N,,,,,,,,,,
df-13,,← 幼犬中大型,,,,,,lamb,N,,,puppy,medium|large,,,,,,,N,,,,,,,,,,
df-14,,← 幼犬平價,,,,,,chicken,N,,,puppy,small|medium|large,,,,,,,N,,,,,,,,,,
df-15,,← 高齡鮭魚,,,,,,salmon,N,,,senior,small|medium|large,,,,,,,N,,,,,,,,,,
df-16,,← 高齡低磷,,,,,,whitefish,N,,,senior,small|medium,,,,,,,N,,,,,,,,,,
df-17,,← 高齡體重管理,,,,,,chicken,N,,,senior,medium|large,,,,,,,N,,,,,,,,,,
df-18,,← 腎臟處方,,,,,,pork|whitefish,N,,,senior,small|medium|large,,,,,,,N,,,,,,,,,,
df-19,,← 水解蛋白處方,,,,,,chicken,N,,,adult,small|medium|large,,,,,,,N,,,,,,,,,,
df-20,,← 經濟型對照,,,,,,chicken,Y,,,all,small|medium|large,,,,,,,N,,,,,,,,,,
