id,brand,name,protein,fat,carb,omega3,phosphorus,proteinSources,singleSource,grainFree,pulses,prescription,lifeStage,bodySize,reportsTotal,reportsPalatability,reportsLooseStool,unit,checkedAt,kcal,dealbreaker,discontinued,referenceOnly,awaitingLink,searchAs,twSource,knownIssues,m1Label,m1Unit,m1Amount,m1Note,m1Url,m1Dead,m2Label,m2Unit,m2Amount,m2Note,m2Url,m2Dead,m3Label,m3Unit,m3Amount,m3Note,m3Url,m3Dead,m4Label,m4Unit,m4Amount,m4Note,m4Url,m4Dead
cf-01,FirstMate 第一饗宴,無穀低敏 鴨肉藍莓全貓配方,36,16,23,0,1.3,duck,1,1,none,0,all,small|medium|large,0,0,0,1.8kg,2026-09-11,3430,你的貓對鴨肉過敏。整包只有鴨一種肉，沒有別的可以撐。,,,,第一饗宴 FirstMate 無穀低敏 鴨肉藍莓 全貓,https://petpetgo.com/product/35347,"成分表很短：肉只有鴨肉粉一種，第二項是馬鈴薯，不含豆類跟穀物。油脂用的是雞脂肪，脂肪幾乎不含蛋白質，多數對雞過敏的貓沒問題，但要做嚴格的排除飲食，先問過獸醫。熱量 3,430 大卡是這裡最低的，同樣的熱量要吃多一點。",小BU的米其林指南（蝦皮優選）,1.8kg,803,免運無限次 · 14:00 前下單隔日到,https://s.shopee.tw/3LQkll4wyb,,,,,,,,,,,,,,,,,,,
cf-02,FirstMate 第一饗宴,無穀低敏 海魚藍莓全貓配方,42,18,20,0,1.2,whitefish,1,1,none,0,all,small|medium|large,0,0,0,4.54kg,2026-09-11,3700,你的貓對魚過敏。整包的肉只有海魚一種。,,,,第一饗宴 FirstMate 無穀低敏 海魚藍莓 全貓,https://petpetgo.com/product/38301,粗蛋白 42% 是這裡最高的。第二項是馬鈴薯，不含豆類跟穀物。油脂一樣用雞脂肪，要做嚴格的排除飲食先問過獸醫。,小BU的米其林指南（蝦皮優選）,1.8kg,695,免運無限次 · 14:00 前下單隔日到,https://s.shopee.tw/AAH4vLjsj4,,小BU的米其林指南（蝦皮優選）,4.54kg,1544,免運無限次 · 14:00 前下單隔日到,https://s.shopee.tw/AAH4vLjsj4,,,,,,,,,,,,,
cf-03,FirstMate 第一饗宴,無穀低敏 雞肉藍莓全貓配方,36,16,26,0,0.9,chicken,1,1,none,0,all,small|medium|large,0,0,0,4.54kg,2026-09-11,3530,你的貓對雞肉過敏。這款的肉就只有雞。,,,1,第一饗宴 FirstMate 無穀低敏 雞肉藍莓 全貓,https://petpetgo.com/product/38300,肉只有雞肉粉一種，第二項是馬鈴薯，不含豆類跟穀物。沒有雞肉過敏的貓，這是成分最單純的選擇之一。,,,,,,,,,,,,,,,,,,,,,,,,
cf-04,ORIJEN 歐睿健（原渴望）,六種鮮魚 貓無穀配方,40,19,19,2.1,1.2,whitefish|fish,0,1,high,0,all,small|medium|large,0,0,0,1kg,2026-09-11,4070,"你的貓對魚過敏，或要控制體重。整包都是魚，熱量 4,070 大卡，一碗的熱量比多數款高。",,,1,歐睿健 Orijen 六種鮮魚 貓 無穀,https://petpetgo.com/product/9080,沙丁魚、鱈魚、鯖魚、比目魚、鯡魚都有，完全不含禽肉，對雞過敏的貓很好用。不過好幾種魚混在一起，拿來排查過敏原的話變因還是多。扁豆、豌豆、鷹嘴豆排在魚的後面，豆類不少。Omega-3 2.1% 是這裡最高的一群。,,,,,,,,,,,,,,,,,,,,,,,,
cf-05,ORIJEN 歐睿健（原渴望）,成幼貓 野牧鮮雞配方,40,20,19,1,1.1,chicken|turkey|whitefish|fish,0,1,high,0,all,small|medium|large,0,0,0,1kg,2026-09-11,,你的貓對雞、火雞或魚過敏。這款三種都有，還有蛋。,,,1,歐睿健 Orijen 成幼貓 野牧鮮雞,https://petpetgo.com/product/9079,成貓幼貓都能吃。肉的種類很多，營養給得很足，但排查過敏原用不上。扁豆、豌豆、鷹嘴豆排在肉的後面，豆類不少。台灣代理商標示沒寫熱量，吃幾天是用中間值估的。,,,,,,,,,,,,,,,,,,,,,,,,
cf-06,ORIJEN 歐睿健（原渴望）,鮮雞無穀幼貓,40,20,18,1.2,1,chicken|turkey|salmon|fish,0,1,high,0,kitten,small|medium|large,0,0,0,1.8kg,2026-09-11,4120,"你的貓已經超過一歲。這是幼貓專用的，熱量 4,120 大卡，成貓吃容易胖。",,,,歐睿健 Orijen 鮮雞無穀幼貓,https://petpetgo.com/product/38037,雞、火雞、鮭魚、鯡魚、鯖魚都有，還有蛋。幼貓如果已經有過敏的樣子，這款就不適合。,晴空小舖sky（蝦皮優選）,1.8kg,1690,一頁多款 · 免運無限次 · 14:00 前下單隔日到,https://s.shopee.tw/112q2f3pnv,,,,,,,,,,,,,,,,,,,
cf-07,ACANA 愛肯拿,草原盛宴貓 放養鴨肉+薑黃,37,18,23,2.2,0.9,duck|chicken|turkey|whitefish,0,1,high,0,adult,small|medium|large,0,0,0,1.8kg,2026-09-11,3930,你想避開雞肉。名字寫鴨肉，但成分表第二項就是新鮮雞肉，份量跟鴨肉一樣是 11%，後面還有脫水雞肉、火雞、白鮭魚、鵪鶉。,,1,,ACANA 愛肯拿 草原盛宴貓 放養鴨肉 薑黃,https://petpetgo.com/product/31096,這款是我們放進來當對照的：名字上的那塊肉是口味，不是成分清單。台灣代理商標示沒寫水分，碳水是用 10% 推估的。我們看到的台灣通路貨是即期品。,,,,,,,,,,,,,,,,,,,,,,,,
cf-08,ACANA 愛肯拿,豐盛漁獲貓 野生鮭魚&鱈魚+虹鱒魚,34,16,27,0.8,1.4,salmon|fish|whitefish,0,0,high,0,adult,small|medium|large,0,0,0,1.8kg,2026-09-11,3800,你的貓對魚過敏，或你特別要找無穀的。這款的肉全是魚，而且成分表第四項是完整燕麥，燕麥是穀物。,,,1,ACANA 愛肯拿 豐盛漁獲貓 野生鮭魚 鱈魚,https://petpetgo.com/product/29596,有些通路把它標成無穀，但成分表裡有燕麥，我們照成分表算。不含禽肉。磷 1.4% 是這裡偏高的。,,,,,,,,,,,,,,,,,,,,,,,,
cf-09,Nutram 紐頓,T22 無穀貓 火雞,36,19,22,0.4,0.85,chicken|turkey,0,1,high,0,adult,small|medium|large,0,0,0,2kg,2026-09-11,3835,你的貓對雞肉過敏。名字寫火雞，但成分表第一項是去骨雞肉，第三項是雞肉粉。,,,1,紐頓 Nutram T22 無穀貓 火雞,https://petpetgo.com/product/25686,肉只有雞、火雞跟蛋，不含魚，對魚過敏的貓可以看看。扁豆、豌豆、鷹嘴豆排在前段。紐頓沒有公布灰分，碳水是用灰分 8% 推估的。,,,,,,,,,,,,,,,,,,,,,,,,
cf-10,Hill's 希爾思,成貓 雞肉特調食譜,32,17,36,0.53,0.71,chicken,0,0,low,0,adult,small|medium|large,0,0,0,1.81kg,2026-09-11,3873,你的貓對雞肉過敏，或你想找無穀的。第一項是雞肉，第二項是全穀粒小麥。,,,1,希爾思 Hills 成貓 雞肉特調食譜,https://petpetgo.com/product/41468,動物性的肉只有雞，但還有黃豆粉，排查過敏原時變因不只一個。希爾思官網公布的是乾物基的數字，我們用水分 8% 換算成跟其他款一樣的基準。,,,,,,,,,,,,,,,,,,,,,,,,
