id,species,alsoFor,brand,name,form,kcalPer,kcalPer100g,unitZh,piecesPerPack,packG,moisture,protein,proteins,additives,completeFood,note,searchAs,source,checkedAt,m1Label,m1Unit,m1Amount,m1Note,m1Url,m1Dead,m1Checked,m2Label,m2Unit,m2Amount,m2Note,m2Url,m2Dead,m2Checked,m3Label,m3Unit,m3Amount,m3Note,m3Url,m3Dead,m3Checked,m4Label,m4Unit,m4Amount,m4Note,m4Url,m4Dead,m4Checked,m5Label,m5Unit,m5Amount,m5Note,m5Url,m5Dead,m5Checked,m6Label,m6Unit,m6Amount,m6Note,m6Url,m6Dead,m6Checked,m7Label,m7Unit,m7Amount,m7Note,m7Url,m7Dead,m7Checked,m8Label,m8Unit,m8Amount,m8Note,m8Url,m8Dead,m8Checked,m9Label,m9Unit,m9Amount,m9Note,m9Url,m9Dead,m9Checked,m10Label,m10Unit,m10Amount,m10Note,m10Url,m10Dead,m10Checked,m11Label,m11Unit,m11Amount,m11Note,m11Url,m11Dead,m11Checked,m12Label,m12Unit,m12Amount,m12Note,m12Url,m12Dead,m12Checked,m13Label,m13Unit,m13Amount,m13Note,m13Url,m13Dead,m13Checked,m14Label,m14Unit,m14Amount,m14Note,m14Url,m14Dead,m14Checked,m15Label,m15Unit,m15Amount,m15Note,m15Url,m15Dead,m15Checked,m16Label,m16Unit,m16Amount,m16Note,m16Url,m16Dead,m16Checked
ct-01,cat,,CIAO 啾嚕,啾嚕肉泥 雞肉,puree,7,,條,4,56,91,7,chicken,糖類（寡糖）、植物油、増稠多糖類、調味料、紅麴色素、綠茶萃取物,,水分 91%：一條 14 公克裡面只有大約 1.3 公克是乾物。這是零食不是主食,CIAO 啾嚕肉泥 雞肉 14g,日本 CIAO 台灣代理商標示（2026-09-19 查）,2026-09-19,貓日常 Cat's Daily（蝦皮商城）,14g×4,49,一頁多口味，規格選「雞肉 SC-73」,https://s.shopee.tw/9AOkcHTHSo?share_channel_code=6,,2026-09-19,萬倍富寵物用品店（蝦皮商城）,14g×4,45,一頁多口味，規格選「肉泥(雞肉) 14g*4」,https://s.shopee.tw/8fSU1MVBTh?share_channel_code=6,,2026-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct-02,cat,,CIAO 啾嚕,啾嚕肉泥 鮪魚＋干貝,puree,7,,條,4,56,91,7,fish,糖類（寡糖）、增稠劑（修飾澱粉）、植物油、多醣類增稠劑、調味料、紅麴色素、綠茶萃取物,,水分 91%。成分表後段有兩種增稠劑和紅麴色素,CIAO 啾嚕肉泥 鮪魚 干貝,日本 CIAO 台灣代理商標示（2026-09-19 查）,2026-09-19,貓日常 Cat's Daily（蝦皮商城）,14g×4,49,一頁多口味，規格選「鮪魚+干貝 SC-77」,https://s.shopee.tw/2Vrqgw12kC?share_channel_code=6,,2026-09-19,萬倍富寵物用品店（蝦皮商城）,14g×4,45,一頁多口味，規格選「肉泥(鮪魚+干貝) 14g*4」,https://s.shopee.tw/2gBGtF0PPD?share_channel_code=6,,2026-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct-03,cat,,CIAO 啾嚕,啾嚕肉泥 綜合營養配方 雞肉,puree,13,,條,4,56,85,7,chicken,糖類（寡糖）、植物油、増稠多糖類、調味料、紅麴色素、綠茶萃取物,1,這款是綜合營養食，加了礦物質、維生素和牛磺酸，可以當主食。代價是一條 13 大卡，快兩倍,CIAO 啾嚕肉泥 綜合營養 雞肉 SC-148,日本 CIAO 台灣代理商標示（2026-09-19 查）,2026-09-19,貓日常 Cat's Daily（蝦皮商城）,14g×4,49,一頁多口味，規格選「雞肉+綜合營養 SC-148」,https://s.shopee.tw/BTvxVmHb1?share_channel_code=6,,2026-09-19,萬倍富寵物用品店（蝦皮商城）,14g×4,45,一頁多口味，規格選綜合營養那一項（SC-148）,https://s.shopee.tw/1AVlCmuvy?share_channel_code=6,,2026-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct-04,cat,dog,汪喵星球,太空小零嘴 長盈虱目魚,freezeDried,,391,公克,,50,2.5,89.3,fish,,,蛋白質 89%，幾乎全是魚。凍乾很輕，一天四五克就到零食上限了,汪喵星球 太空小零嘴 虱目魚 凍乾,汪喵星球官網商品頁（2026-09-19 查）,2026-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct-05,cat,dog,汪喵星球,太空小零嘴 爆蛋柳葉魚,freezeDried,,469,公克,,40,2.5,70.7,fish,,,脂肪 20.7%，是這一系列裡最高的，熱量也最高,汪喵星球 爆蛋柳葉魚 凍乾,汪喵星球官網商品頁（2026-09-19 查）,2026-09-20,毛孩寵物鋪,40g,240,一頁多口味，規格選「【海味】爆蛋柳葉魚40g」,https://s.shopee.tw/3LQylUYSuL?share_channel_code=6,,2026-09-20,汪喵星球官方商城,40g,260,一頁多口味，規格選「爆蛋柳葉魚 40g」,https://s.shopee.tw/3VkOxnXpZM?share_channel_code=6,,2026-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct-06,cat,dog,汪喵星球,太空小零嘴 柳葉魚雞鬆,freezeDried,,416,公克,,50,2.5,84.2,fish|chicken,,,名字寫柳葉魚，但裡面有雞鬆。對雞過敏的貓要避開,汪喵星球 柳葉魚雞鬆 凍乾,汪喵星球官網商品頁（2026-09-19 查）,2026-09-20,汪喵星球官方商城,50g,210,一頁多口味，規格選「柳葉魚雞鬆 50g」,https://s.shopee.tw/3VkOxnXpZM?share_channel_code=6,,2026-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct-07,cat,dog,汪喵星球,太空小零嘴 日本大干貝,freezeDried,,351,公克,,25,2.5,80.3,fish,,,脂肪 3.6%，這一系列裡最低。在減重的貓可以從這款開始,汪喵星球 日本大干貝 凍乾,汪喵星球官網商品頁（2026-09-19 查）,2026-09-20,毛孩寵物鋪,20g,380,規格選「日本大干貝 20g」，注意是 20g 不是官方商城的 25g,https://s.shopee.tw/4fwMPSu8Nb?share_channel_code=6,sold,2026-09-20,汪喵星球官方商城,25g,380,一頁多口味，規格選「日本大干貝 25g」,https://s.shopee.tw/4qFmbltV2c?share_channel_code=6,,2026-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct-08,cat,dog,汪喵星球,太空小零嘴 澎湖丁香魚,freezeDried,,356,公克,,30,2.5,77.7,fish,,,,汪喵星球 澎湖丁香魚 凍乾,汪喵星球官網商品頁（2026-09-19 查）,2026-09-20,毛孩寵物鋪,30g,240,一頁多口味，規格選「【海味】澎湖丁香魚30g」,https://s.shopee.tw/2BF0MDwXRu?share_channel_code=6,,2026-09-19,汪喵星球官方商城,30g,260,一頁多口味，規格選「澎湖丁香魚 30g」】【,https://s.shopee.tw/4qFmbltV2c?share_channel_code=6,,2026-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct-09,cat,dog,汪喵星球,太空小零嘴 阿根廷天使紅蝦,freezeDried,,364,公克,,23,2.5,85.4,fish,,,脂肪只有 1.3%，蛋白質 85%,汪喵星球 天使紅蝦 凍乾,汪喵星球官網商品頁（2026-09-19 查）,2026-09-20,汪喵星球官方商城,23g,350,一頁多口味，規格選「阿根廷天使紅蝦 23g」,https://s.shopee.tw/3VkOxnXpZM?share_channel_code=6,,2026-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct-10,cat,dog,汪喵星球,太空小零嘴 虱目魚菲力,freezeDried,,391,公克,,50,2.5,89.3,fish,,,,汪喵星球 虱目魚菲力 凍乾,汪喵星球官網商品頁（2026-09-19 查）,2026-09-20,汪喵星球官方商城,50g,300,一頁多口味，規格選「虱目魚菲力 50g」,https://s.shopee.tw/3VkOxnXpZM?share_channel_code=6,,2026-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
