id,brand,name,complete,protein,fat,fiber,ash,moisture,carb,omega3,phosphorus,kcal,proteinSources,singleSource,grainFree,pulses,prescription,lifeStage,bodySize,reportsTotal,reportsPalatability,reportsLooseStool,unit,checkedAt,dealbreaker,discontinued,referenceOnly,awaitingLink,searchAs,twSource,knownIssues,m1Label,m1Unit,m1Amount,m1Note,m1Url,m1Dead,m2Label,m2Unit,m2Amount,m2Note,m2Url,m2Dead,m3Label,m3Unit,m3Amount,m3Note,m3Url,m3Dead,m4Label,m4Unit,m4Amount,m4Note,m4Url,m4Dead,m1Checked,m2Checked,m3Checked,m4Checked,m5Label,m5Unit,m5Amount,m5Note,m5Url,m5Dead,m5Checked,m6Label,m6Unit,m6Amount,m6Note,m6Url,m6Dead,m6Checked,m7Label,m7Unit,m7Amount,m7Note,m7Url,m7Dead,m7Checked,m8Label,m8Unit,m8Amount,m8Note,m8Url,m8Dead,m8Checked,m9Label,m9Unit,m9Amount,m9Note,m9Url,m9Dead,m9Checked,m10Label,m10Unit,m10Amount,m10Note,m10Url,m10Dead,m10Checked,m11Label,m11Unit,m11Amount,m11Note,m11Url,m11Dead,m11Checked,m12Label,m12Unit,m12Amount,m12Note,m12Url,m12Dead,m12Checked,m13Label,m13Unit,m13Amount,m13Note,m13Url,m13Dead,m13Checked,m14Label,m14Unit,m14Amount,m14Note,m14Url,m14Dead,m14Checked,m15Label,m15Unit,m15Amount,m15Note,m15Url,m15Dead,m15Checked,m16Label,m16Unit,m16Amount,m16Note,m16Url,m16Dead,m16Checked,huntNote
dw-01,怪獸部落,犬1肉主食罐 鴨肉,Y,16.2,8.2,0.3,2,71.6,2,0.1,0.34,1320,duck,Y,Y,none,N,puppy|adult,small|medium|large,0,0,0,82g,2026-09-27,你的狗對鴨過敏。整罐的肉就是鴨肉和鴨肝，沒有第三種。,,,,怪獸部落 犬1肉主食罐 鴨肉 82g,https://petpetgo.com/product/23388,成分表的肉只有鴨肉、鴨肝兩項，是我們讀過的狗主食罐裡唯一一款整張成分表都找不到雞的。標示 AAFCO 成幼犬。,RBB 寵物生活館（蝦皮優選）,82g,53,一頁多口味，規格選「清蒸鴨肉82G」,https://s.shopee.tw/30oIXLbJPY?share_channel_code=6,sold,,,,,,,,,,,,,,,,,,,2026-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dw-02,怪獸部落,犬2肉主食罐 羊雞肉,Y,15.8,8.9,0.3,2,71.3,2,0.1,0.44,1360,lamb|chicken,N,Y,none,N,puppy|adult,small|medium|large,0,0,0,165g,2026-09-20,你的狗對雞過敏。雞腿肉、雞胸肉、雞心肝三項，名字上就寫了。,,,1,怪獸部落 犬2肉主食罐 羊雞肉 165g,https://petpetgo.com/product/23393,名字誠實，雞寫在標題上。第一項是澳洲草飼羊肉，接著才是雞。標示 AAFCO 成幼犬。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dw-03,怪獸部落,犬2肉主食罐 鱉肉鱉蛋,Y,15.4,7.6,0.3,2,73,2,0.1,0.32,1240,chicken|fish,N,Y,none,N,puppy|adult,small|medium|large,0,0,0,165g,2026-09-20,你的狗對雞過敏。名字寫鱉肉鱉蛋，成分表第一項是雞肉，後面還有雞心肝。,,,1,怪獸部落 犬2肉主食罐 鱉肉鱉蛋 165g,https://petpetgo.com/product/23394,鱉是狗很少吃到的肉，常被拿來換口味或做排除飲食，但這一罐第一項是雞肉，鱉排第二。另外還有鯉魚。鱉肉、鱉蛋、鯉魚我們沒有另外開分類，要避開這幾種請直接看成分表。標示 AAFCO 成幼犬。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dw-04,狗狗說,犬用主食罐 紫罐 鮮雞燉羊＋山藥,Y,11.2,8.2,0.1,1.2,76.5,,,0.24,,chicken|lamb,N,Y,none,N,adult,small|medium|large,0,0,0,165g,2026-09-20,你的狗對雞過敏。第一項是新鮮雞肉，第二項是熬煮雞湯，後面還有雞肝、雞油、雞心。,,,1,狗狗說 犬用主食罐 紫罐 鮮雞燉羊 山藥 165g,https://petpetgo.com/product/34197,品牌沒有公布代謝能，所以這一款一天要幾罐我們算不出來，那一欄是空的。碳水是我們用減法算的，不是品牌公布的。成分裡有蒟蒻粉。標示沒寫適用年齡，我們先當成成犬。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dw-05,狗狗說,犬用主食罐 藍罐 四種鮮魚＋鷹嘴豆,Y,13.4,4.6,0.1,2.1,76.3,,,0.17,,fish|chicken,N,Y,high,N,adult,small|medium|large,0,0,0,165g,2026-09-20,你的狗對雞過敏。名字寫四種鮮魚，成分表裡有雞肝、雞油、雞心三項。,,,1,狗狗說 犬用主食罐 藍罐 四種鮮魚 鷹嘴豆 165g,https://petpetgo.com/product/34301,四種魚是鮪魚、鬼頭刀魚、旗魚、鰹魚，排在最前面沒錯。但雞肝、雞油、雞心也都在成分表裡，名字上一個字都沒提。鷹嘴豆是豆類。品牌沒有公布代謝能。標示沒寫適用年齡，我們先當成成犬。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dw-06,陪心寵糧,SUPER小白主食罐 雞魚＋野莓,Y,11,4,0.5,2,82,,,0.19,1000,chicken|fish,N,Y,none,N,all,small|medium|large,0,0,0,80g,2026-09-20,你的狗對雞過敏。第一項是雞肉，後面還有雞肝、雞油、雞心。,,,1,陪心寵糧 SUPER小白主食罐 雞魚 野莓 80g,https://petpetgo.com/product/25717,標的是最低值和最高值，不是實測：蛋白質 11% 是最少、水分 82% 是最多。魚的部分是白身鮪魚。成分裡有寒天與蒟蒻。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dw-07,陪心寵糧,SUPER小白主食罐 雞鵪鶉＋黑木耳,Y,10,4,0.5,2,82.5,,,0.2,1000,chicken,N,Y,none,N,all,small|medium|large,0,0,0,80g,2026-09-20,你的狗對雞過敏。第一項是雞肉，後面還有雞肝、雞心、雞油。,,,1,陪心寵糧 SUPER小白主食罐 雞鵪鶉 黑木耳 80g,https://petpetgo.com/product/25719,除了雞還有鵪鶉肉和鵪鶉蛋，鵪鶉我們沒有另外開分類，要避開禽類的請直接看成分表。標的是最低值和最高值，不是實測。成分裡有寒天與蒟蒻。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dw-08,汪喵星球,犬用 Fantastic 95% 鮮肉主食罐 鹿肉,Y,15.8,9.1,0.5,2,71.1,2,0.12,0.35,1380,venison|chicken,N,Y,none,N,puppy|adult,small|medium|large,0,0,0,80g,2026-09-20,你的狗對雞過敏。名字寫鹿肉，成分表第二項就是雞肉，後面還有雞心肝、雞軟骨、雞蛋黃。,,,1,汪喵星球 犬用 Fantastic 95% 鮮肉主食罐 鹿肉 80g,https://petpetgo.com/product/27741,紐西蘭放牧草飼鹿肉排第一，這是真的。但第二項開始是雞肉、雞心肝、雞軟骨、雞蛋黃，四項都是雞。鹿肉是稀有蛋白，要拿來排查過敏原的話這一罐不行。標示 AAFCO／NRC 成幼犬。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dw-09,汪喵星球,熟齡犬銀養主食罐 燉羊肉,Y,15.8,7.9,5,2,72.3,2,0.2,0.35,1280,chicken|lamb,N,Y,none,N,senior,small|medium|large,0,0,0,80g,2026-09-20,你的狗對雞過敏。名字寫燉羊肉，成分表第一項是雞肉及雞肝，羊肉排第二。,,,1,汪喵星球 熟齡犬銀養主食罐 燉羊肉 80g,https://petpetgo.com/product/27690,名字是燉羊肉，第一項卻是雞肉及雞肝。另外有鵪鶉蛋。品牌標的纖維是 5%，跟同系列其他口味的 0.5% 差了十倍，我們照品牌公布的數字登記，但這個數字看起來不對，不要拿它來比較。標示是熟齡犬（5 到 7 歲以上）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dw-10,汪喵星球,幼母犬營養主食罐 雞肉,Y,16,8,0.5,2,72,2,0.2,0.35,1290,chicken,Y,Y,none,N,puppy,small|medium|large,0,0,0,165g,2026-09-20,你的狗對雞過敏。整罐的肉就是雞肉、雞肝、雞蛋黃。,,,1,汪喵星球 幼母犬營養主食罐 雞肉 165g,https://petpetgo.com/product/26373,肉的部分只有雞，名字也寫了雞。這一款標的是幼犬跟懷孕哺乳的母犬，成犬吃的話熱量偏高。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
