id,brand,name,complete,protein,fat,fiber,ash,moisture,carb,omega3,phosphorus,kcal,proteinSources,singleSource,grainFree,pulses,prescription,lifeStage,bodySize,reportsTotal,reportsPalatability,reportsLooseStool,unit,checkedAt,dealbreaker,discontinued,referenceOnly,awaitingLink,searchAs,twSource,knownIssues,m1Label,m1Unit,m1Amount,m1Note,m1Url,m1Dead,m2Label,m2Unit,m2Amount,m2Note,m2Url,m2Dead,m3Label,m3Unit,m3Amount,m3Note,m3Url,m3Dead,m4Label,m4Unit,m4Amount,m4Note,m4Url,m4Dead
cw-01,喵皇奴,貓咪經典主食罐 雞肉＋鵪鶉,Y,12.7,8.3,0.8,1.9,76.2,0.1,0,,1150,chicken|animal,N,Y,none,N,adult,small|medium|large,0,0,0,80g,2026-09-12,你的貓對雞過敏。第一項就是雞肉，後面還有雞肝、雞油。,,,1,喵皇奴 經典主食罐 雞肉 鵪鶉 80g,https://petpetgo.com/product/26988,除了雞還有鵪鶉，另外有蛋黃粉和魚油。成分裡有一項「水解蛋白」沒寫是什麼來源，要做排除飲食的話這一項沒辦法排除。有加增稠劑（CMC、糊精）。碳水 0.1% 是品牌自己公布的。標示沒寫適用年齡，我們先當成貓用。,,,,,,,,,,,,,,,,,,,,,,,,
cw-02,汪喵星球,FANTASTIC 98% 鮮肉無膠主食罐 低敏鴨肉,Y,16.3,6.1,0.5,2,73.6,1,0,0.23,1140,duck|chicken,N,Y,none,N,adult,small|medium|large,0,0,0,80g,2026-09-12,你的貓對雞過敏。名字寫低敏鴨肉，成分表第二項就是雞肉，第三項是雞心肝。,,,1,汪喵星球 98% 鮮肉無膠主食罐 低敏鴨肉 80g,https://www.mao.com.tw/products/%E6%B1%AA%E5%96%B5%E6%98%9F%E7%90%83-%E8%B2%93%E7%94%A8-fantastic-98-%E9%AE%AE%E8%82%89%E7%84%A1%E8%86%A0%E4%B8%BB%E9%A3%9F%E7%BD%90%EF%BD%9C80g,「低敏」是品牌的說法。除了鴨和雞，還有雞蛋黃、蜆、魚油。同一系列七種口味我們都看了，每一種的前兩項都有雞（雞肉或雞心肝）。小麥草是小麥的嫩葉，不是穀粒。碳水 1% 是品牌公布的。標示沒寫適用年齡，我們先當成貓用。,,,,,,,,,,,,,,,,,,,,,,,,
cw-03,厚肉肉,營養主食橘罐 鮮燉雞拼火雞肉,Y,12.1,6.1,0.3,1.7,79,,0,0.13,970,chicken|turkey|fish,N,Y,none,N,adult,small|medium|large,0,0,0,80g,2026-09-12,你的貓對雞過敏。雞肉、雞湯、雞油、雞肝、雞心、滴雞精，整罐幾乎都是雞。,,,1,厚肉肉 營養主食罐 橘罐 鮮燉雞拼火雞肉 80g,https://shop.petpark.com.tw/20829650,肉是雞和火雞，後面還有柴魚粉（魚）和蛋黃粉。熱量用品牌標的代謝能，每 100 克 97 大卡。標示沒寫適用年齡，我們先當成貓用。,,,,,,,,,,,,,,,,,,,,,,,,
cw-04,Instinct 原點,雞肉無穀全貓主食罐,Y,10,7.5,3,,78,,0.2,,1541,chicken|turkey,N,Y,low,N,all,small|medium|large,0,0,0,85g,2026-09-12,你的貓對雞過敏。第一項雞肉、第二項雞湯、第三項雞肝，後面還有火雞。,,,1,Instinct 原點 雞肉無穀全貓主食罐 85g,https://petpetgo.com/product/36563,還有蛋製品。有豌豆，排在磷酸氫鈣和火雞肉後面，份量不大。油用鮪魚油。一罐 131 大卡是這裡最高的一級，一天的罐數會比較少。包裝沒寫灰分，碳水算不出來。,,,,,,,,,,,,,,,,,,,,,,,,
cw-05,Wellness 寵物健康,全方位 鮮肉主食餐包 厚切肉塊 鮭魚＋鮪魚,Y,4,2,1,,85,,0,,671,chicken|salmon|fish,N,Y,none,N,adult,small|medium|large,0,0,0,85g,2026-09-12,你的貓對雞過敏。名字寫鮭魚＋鮪魚，第一項是雞湯、第三項是雞肉，都排在鮭魚前面。,,,1,Wellness 全方位 鮮肉主食餐包 鮭魚 鮪魚 85g,https://petpetgo.com/product/32690,成分照 Wellness 台灣官網。還有雞肝、蛋、乾燥馬鈴薯。一包只有 57 大卡，4 公斤的貓全吃這款一天要四包左右。蛋白質寫的是「4% 以上」這種保證值，實際通常比較高。包裝沒寫灰分，碳水算不出來。標示沒寫適用年齡，我們先當成貓用。,,,,,,,,,,,,,,,,,,,,,,,,
cw-06,Hill's 希爾思,成貓 完美體重 鮭魚 主食罐,Y,6.5,1.2,4,,82,,0,,816,chicken|pork|salmon|fish,N,N,none,N,adult,small|medium|large,0,0,0,82g,2026-09-12,你的貓對雞或豬過敏。名字寫鮭魚，第一項是雞湯、第二項是豬肝，鮭魚排第四。,,,1,希爾思 成貓 完美體重 鮭魚 主食罐 82g,https://petpetgo.com/product/39541,含小麥筋質、米澱粉、米。纖維最多 4% 是這裡最高的，減重配方靠纖維撐飽足感。後面還有雞肉、鮪魚、水解雞香料。一罐 67 大卡。包裝沒寫灰分，碳水算不出來。,,,,,,,,,,,,,,,,,,,,,,,,
cw-07,Hill's 希爾思,幼貓 敏感胃腸與皮膚 鮭魚 主食罐,Y,4,1.7,2,,86.5,,0,,687,chicken|salmon|turkey|pork,N,N,none,N,kitten,small|medium|large,0,0,0,79g,2026-09-12,你的貓對雞過敏。名字寫鮭魚，第一項是雞湯，後面還有火雞、豬肝、雞脂肪。名字裡的「敏感」講的是腸胃，不是低過敏。,,,1,希爾思 幼貓 敏感胃腸與皮膚 鮭魚 主食罐 79g,https://petpetgo.com/product/39544,幼貓專用。含米澱粉、米，還有蛋黃和魚油。一罐只有 54 大卡，水分 86.5% 是這裡最高的，通常會搭幼貓乾糧一起餵。包裝沒寫灰分，碳水算不出來。,,,,,,,,,,,,,,,,,,,,,,,,
cw-08,Royal Canin 皇家,11 歲以上老貓 主食濕糧 A30+11W,Y,9.6,4,0.5,1.4,80.7,,0,,,animal,N,N,unknown,N,senior,small|medium|large,0,0,0,85g,2026-09-12,你的貓有任何一種肉過敏。成分只寫「肉及其相關產品」，沒寫是哪一種動物，沒辦法排除。,,,1,皇家 A30+11W 老貓主食濕糧 85g,https://petpetgo.com/product/40573,成分照皇家台灣官網，只寫到類別：肉及其相關產品、穀類、植物蛋白萃取。熱量官網沒寫，一天要幾包我們先不算。這款是軟包裝的餐包，不是罐頭。,,,,,,,,,,,,,,,,,,,,,,,,
cw-09,ZiwiPeak 巔峰,鮮肉貓主食罐 羊肉,Y,9.5,6,2,3,78,,0,,1325,lamb,Y,Y,high,N,adult,small|medium|large,0,0,0,85g,2026-09-12,你的貓對羊肉過敏，或是預算抓得很緊。整罐的肉只有羊，一罐的價錢差不多是一般主食罐的三倍。,,,1,ZiwiPeak 巔峰 鮮肉貓主食罐 羊肉 85g,https://www.sofydog.com/tw/SofyDOG/product-detail/BR-ZIWICCANALLOB85G/,肉只有羊：羊肉、羊肺、羊腎、羊肝、羊肚、羊心。另外有紐西蘭綠唇貝，那是貝類。第六項是鷹嘴豆。標示沒寫適用年齡，我們先當成貓用。,,,,,,,,,,,,,,,,,,,,,,,,
cw-10,Weruva 唯美味,夏威夷盛宴 鯖魚＋南瓜 主食罐,Y,12,1.5,1,1.5,84,,0,0.2,729,fish,Y,Y,none,N,all,small|medium|large,0,0,0,85g,2026-09-12,你的貓對魚過敏。整罐的肉只有鯖魚。,,,1,Weruva 唯美味 夏威夷盛宴 85g,https://www.lovecat.com.tw/products/weruva%E5%94%AF%E7%BE%8E%E5%91%B3%E4%B8%BB%E9%A3%9F%E8%B2%93%E7%BD%90-%E5%A4%8F%E5%A8%81%E5%A4%B7%E7%9B%9B%E5%AE%B485g,脂肪只有 1.5%，熱量偏低，4 公斤的貓全吃這款一天要快四罐。還有南瓜、馬鈴薯澱粉、葵花籽油。熱量照 HAPET 好寵標的每 100 克 72.94 大卡。,,,,,,,,,,,,,,,,,,,,,,,,
